model,dataset_source,split,validation_f2,validation_pr_auc,test_f2,test_pr_auc,test_recall,test_precision,threshold,alerts,false_negatives,false_positives
random_forest_balanced,kaggle,temporal,0.7875457875457875,0.761541726799896,0.7692307692307693,0.8049540045757196,0.7466666666666667,0.875,0.24000000000000002,64,19,8
xgboost_weighted,kaggle,temporal,0.7846715328467153,0.773585968323496,0.7786885245901639,0.801576261188384,0.76,0.8636363636363636,0.85,66,18,9
logistic_regression_balanced,kaggle,temporal,0.7097791798107256,0.7833145663948619,0.7244655581947743,0.7610318006158584,0.8133333333333334,0.5041322314049587,0.99,121,14,60
