model,dataset_source,validation_f2,validation_pr_auc,test_f2,test_pr_auc,test_recall,test_precision,threshold,alerts,false_negatives,false_positives
random_forest_balanced,kaggle,0.8048289738430584,0.8028154861369958,0.8399209486166008,0.868098572986229,0.8673469387755102,0.7456140350877193,0.12,114,13,29
xgboost_weighted,kaggle,0.7926829268292683,0.8006763063129372,0.8350100603621731,0.8550131004990741,0.8469387755102041,0.7904761904761904,0.79,105,15,22
logistic_regression_balanced,kaggle,0.7066189624329159,0.6746910663495513,0.7517482517482518,0.7194030117233023,0.8775510204081632,0.4777777777777778,0.99,180,12,94
isolation_forest_anomaly,kaggle,0.2766531713900135,0.0717564135419493,0.2781546811397558,0.1059295175134916,0.41836734693877553,0.11884057971014493,0.59,345,57,304
